comment_id,source,atomic_request,severity,route_c_action,owning_phase,minimum_evidence,current_status,manuscript_destination,closure_rule
ED-01,Editor,"Provide a complete point-to-point response document.",FATAL,"Build an atomised evidence-linked response after manuscript freeze.",C8,"response letter; closure matrix; manuscript anchors",MAPPED,"Response package","Every substantive request has a direct response evidence and exact location."
ED-02,Editor,"Provide a revised Word manuscript with changes visibly highlighted.",FATAL,"Generate anonymous tracked or single-colour highlighted Word file and parity-check it against the clean version.",C7-C8,"tracked DOCX; clean/tracked parity report",MAPPED,"Submission package","Visible changes remain readable and anonymous."
ED-03,Editor,"Limit the title to eight words.",FATAL,"Use the frozen eight-word title.",C2-C7,"title audit",CLOSED-DESIGN,"Title","Title contains exactly eight words."
ED-04,Editor,"Keep the revised manuscript within 10,000 words.",FATAL,"Use a 9,300-word internal ceiling and automated word-count audit.",C7,"word-count report",MAPPED,"Whole manuscript","Hard count does not exceed 10,000."
ED-05,Editor,"Avoid unnecessary self-citation and prior JCIS citation.",MAJOR,"Use external direct literature for novelty and cite project releases only for availability or indispensable provenance.",C2-C7,"citation audit; self-citation count",IN-PROGRESS,"Related Work; Availability","Every self-citation has an indispensable evidential role."
ED-06,Editor,"Do not change authorship.",FATAL,"Freeze the single-author identity and order.",C8,"original/revised authorship parity",MAPPED,"Title page; portal metadata","Author count identity and order are unchanged."
ED-07,Editor,"Apply JCIS reference and manuscript style.",MAJOR,"Reconstruct structure terminology references figures and tables under a final style audit.",C7-C8,"style checklist; reference audit",MAPPED,"Whole manuscript","No unresolved style blocker."
ED-08,Editor,"Do not number headings or subheadings.",FATAL,"Use unnumbered headings in every manuscript version.",C7,"heading audit",MAPPED,"Whole manuscript","Numbered manuscript headings equal zero."
R1-01,Reviewer 1,"Add detailed examples of health data exchanged.",MAJOR,"Open with and execute a concrete synthetic DiagnosticReport disclosure case.",C3-C7,"versioned source resources; hero-case report",PLANNED,"Introduction; TrustEvidence Boundary; Supplement","The case contains concrete clinically plausible values and exact versions without real-patient wording."
R1-02,Reviewer 1,"Explain what Merkle trees are.",MAJOR,"Add a concise domain-specific explanation of leaves nodes roots and proof paths.",C4-C7,"implementation audit; explanatory figure",PLANNED,"Reference Implementation","Explanation matches the executed local algorithm and avoids generic blockchain rhetoric."
R1-03,Reviewer 1,"Explain the purpose of Merkle trees in this artefact.",MAJOR,"Tie inclusion and retained-checkpoint consistency to precise dispute questions and non-claims.",C4-C7,"mutation evidence; claim ledger",PLANNED,"Reference Implementation; Discussion","Purpose is expressed as bounded inclusion/consistency evidence not truth or completeness."
R1-04,Reviewer 1,"Explain the process steps and tools in greater detail.",MAJOR,"Use an Input–Processing–Output pipeline exact tool versions and a reproduction path.",C3-C7,"IPO figure; environment manifest; commands",PLANNED,"Research Design; Evaluation","A reader can identify inputs operations outputs and validators without repository guesswork."
R1-05,Reviewer 1,"Extend the state-of-the-art section.",MAJOR,"Replace the catalogue with a direct comparator synthesis covering FHIR/BALP consent systems healthcare ledgers SCITT and COSE Receipts.",C2-C7,"verified reference registry; comparator matrix",IN-PROGRESS,"Related Work and Contribution","Novelty is bounded by direct current sources and standards."
R1-06,Reviewer 1,"Make table and figure text readable.",MAJOR,"Reduce the main visual set redesign at final size and move large matrices to the supplement.",C7,"figure/table QA; PDF proof",MAPPED,"Figures and tables","All text is readable at final page scale and no visual is a screenshot."
R1-07,Reviewer 1,"Include a complete evidence entity or resource with concrete data.",MAJOR,"Publish a fully populated signed envelope and its FHIR projection from the hero case.",C3,"case artefacts; validators; checksum manifest",PLANNED,"TrustEvidence Boundary; Supplement","The example is complete synthetic and byte-traceable."
R1-08,Reviewer 1,"Explain where and how encryption is used.",MAJOR,"Separate hashing signatures TLS and optional at-rest controls; claim encryption only where executed.",C4-C7,"threat model; deployment record",PLANNED,"Reference Implementation; Limitations","Hashing is never described as encryption and unexecuted controls are not results."
R1-09,Reviewer 1,"Summarise the total overhead added to EHR exchange.",MAJOR,"Replace isolated timing language with preregistered local B0–B2 processing and byte increments.",C5-C7,"raw runs; p50 p95 p99; paired increments",PLANNED,"Evaluation; Results; Discussion","Wording remains `local reference-pipeline increment` and not production EHR overhead."
R2-01,Reviewer 2,"Replace the difficult title with a readily comprehensible title.",MAJOR,"Use the frozen eight-word reader-centred title.",C2-C7,"title audit",CLOSED-DESIGN,"Title","Title identity is unchanged across portal and manuscript files."
R2-02,Reviewer 2,"Rewrite the abstract as a concise self-contained summary.",MAJOR,"Write the abstract after results freeze using problem objective method findings and conclusion.",C7,"abstract/results parity; number registry",MAPPED,"Abstract","Every abstract finding appears identically in Results."
R2-03,Reviewer 2,"Add recent research references where relevant.",MAJOR,"Add 2022–2026 direct consent audit privacy and transparency sources while retaining justified foundational DSR sources.",C2-C7,"verified reference registry; claim-citation matrix",IN-PROGRESS,"Related Work; Discussion","Recent sources are direct and DOI-verified rather than decorative."
R2-04,Reviewer 2,"Clarify how the validity or verification of the study is established.",MAJOR,"Separate standards validation implementation verification security properties empirical conclusion validity and non-claims.",C3-C7,"validator reports; mutation reports; experiment protocol; release evidence",PLANNED,"Research Design; Evaluation; Limitations","Each validity class has an executed method or an explicit not-established status."
R2-05,Reviewer 2,"Define specialist terms for interdisciplinary readers.",MAJOR,"Use a canonical terminology sheet inline first-use definitions and a reduced acronym set.",C2-C7,"terminology audit",IN-PROGRESS,"Whole manuscript","Every retained technical term is defined before abbreviated use."
R2-06,Reviewer 2,"Write full names before abbreviations including FHIR BALP and SUSHI.",MODERATE,"Expand official names at first occurrence and describe SUSHI by function without inventing an expansion.",C7,"acronym audit",MAPPED,"Abstract exclusions; first use in main text","Undefined acronyms equal zero."
R2-07,Reviewer 2,"Deepen the background review rather than listing selected papers.",MAJOR,"Organise prior work by representation custody consent binding authentication backend assurance and completeness.",C2-C7,"literature synthesis; comparator matrix",IN-PROGRESS,"Related Work and Contribution","Each stream ends in a specific gap or boundary relevant to an RQ."
R2-08,Reviewer 2,"Correct inappropriate citation grouping such as Bennett et al. 2023 2024 2025.",MAJOR,"Separate the peer-reviewed conversion article full dataset and demo dataset by evidential function.",C2-C7,"reference registry; citation audit",CLOSED-DESIGN,"Data subsection; References","No bundled pseudo-citation remains."
R2-09,Reviewer 2,"Describe sample datasets and metadata.",MAJOR,"Document source type version seed licence selected resources transformations and payload treatment for each executed case.",C3-C7,"case provenance; source registry",PLANNED,"Research Design; Evaluation; Supplement","Every data input can be located and its role distinguished from a proxy."
R2-10,Reviewer 2,"Explain what data or information was designed and how it was used.",MAJOR,"Present the field registry and hero-case boundary with input source portable references commitments and exclusions.",C3-C7,"field-classification matrix; case table",PLANNED,"TrustEvidence Boundary","The paper distinguishes clinical source data from portable audit facts."
R2-11,Reviewer 2,"Shift emphasis from background to actual methodology experiment and results.",MAJOR,"Apply the frozen word budget and move detailed registries to supplement or repository.",C7,"word-budget audit; section balance",MAPPED,"Whole manuscript","Methods plus Results receive more space than generic background."
R2-12,Reviewer 2,"Add a diagram of the model or system configuration.",MAJOR,"Create a cross-organisational evidence-flow figure grounded in the hero case.",C3-C7,"vector figure; visual QA",PLANNED,"Introduction; Figure 1","Figure shows actors data paths custody and outputs at readable scale."
R2-13,Reviewer 2,"Replace the overly abstract architecture figure.",MAJOR,"Retire the legacy figure and use the concrete Hospital A–Hospital B flow.",C7,"legacy visual manifest; new figure",MAPPED,"Figure 1","No abstract box has an unexplained role."
R2-14,Reviewer 2,"Use noun-phrase figure subjects and readable fonts.",MODERATE,"Use short noun-phrase labels vector output and final-size visual inspection.",C7,"figure registry; PDF proof",MAPPED,"All figures","All labels remain readable in the generated reviewer PDF."
R2-15,Reviewer 2,"Use TrustEvidence and hyphenated terms consistently.",MODERATE,"Freeze canonical terminology and prohibit Trust-Evidence.",C2-C7,"terminology lint",IN-PROGRESS,"Whole manuscript","Prohibited variants equal zero."
R2-16,Reviewer 2,"Explain the research design and execution in accessible language.",MAJOR,"Use the Route C RQs build-evaluate sequence and an IPO description tied to one case.",C2-C7,"manuscript blueprint; IPO figure",IN-PROGRESS,"Research Design","A non-specialist can trace one input to one output."
R2-17,Reviewer 2,"Do not describe missing technologies as the research environment.",MAJOR,"Replace the legacy absence list with the actual executed environment and excluded scope.",C1-C7,"environment manifest; claim ceiling",PARTIAL,"Research Design; Limitations","Methods state what ran; Limitations state what did not."
R2-18,Reviewer 2,"Present Input Processing and Output explicitly.",MAJOR,"Publish the frozen validate-classify-minimise-commit-canonicalise-sign-project-append-verify chain.",C2-C7,"IPO model; executable case",IN-PROGRESS,"Research Design; Reference Implementation","Inputs outputs assumptions and steps match code and case artefacts."
R2-19,Reviewer 2,"Explain whether the process figure is an algorithm or flowchart.",MODERATE,"Label it as a processing pipeline and supplement it with concise pseudocode.",C7,"figure caption; algorithm box",MAPPED,"Reference Implementation","Caption and text state purpose and interpretation."
R2-20,Reviewer 2,"Define variables inputs outputs assumptions and operation sequence.",MAJOR,"Use an algorithm box with typed inputs exact outputs and explicit verification assumptions.",C3-C7,"algorithm-to-code traceability",PLANNED,"Reference Implementation","No variable or state requirement is implicit."
R2-21,Reviewer 2,"Use case examples and sample metadata in the evaluation.",MAJOR,"Evaluate the disclosure case a wearable batch and controlled negative variants.",C3-C5,"case registry; result reports",PLANNED,"Evaluation; Results","Every reported result is linked to a named case or workload."
R2-22,Reviewer 2,"Refer to and explain every figure in the text.",MODERATE,"Use a figure registry and first-reference audit.",C7,"figure invocation report",MAPPED,"Whole manuscript","Every figure is introduced before or at its first appearance."
R2-23,Reviewer 2,"Order Results to match methods and research questions.",MAJOR,"Report RQ1 through RQ4 in the same order as Evaluation.",C7,"section-order audit",MAPPED,"Results","No result precedes its method."
R2-24,Reviewer 2,"Keep Results objective and move interpretation to Discussion.",MAJOR,"Use one finding per paragraph and reserve explanations and implications for Discussion.",C7,"results/discussion audit",MAPPED,"Results; Discussion","No speculative or promotional result paragraph remains."
R2-25,Reviewer 2,"Ensure numerical consistency across text tables and figures.",FATAL,"Generate all numbers from one machine-readable registry.",C5-C8,"number registry; consistency report",PLANNED,"Abstract; Results; Tables; Figures; Response","Numerical discrepancies equal zero."
R2-26,Reviewer 2,"Avoid repeating every table value in prose.",MODERATE,"Report headline findings and direct the reader to the table for detail.",C7,"redundancy audit",MAPPED,"Results","Prose interprets structure but does not duplicate tables."
R2-27,Reviewer 2,"Rewrite the paper concisely and from the reader's perspective.",MAJOR,"Reconstruct from a new blueprint rather than patching legacy prose.",C7,"readability review; word budget",MAPPED,"Whole manuscript","Hero case and RQ flow remain visible throughout."
R3-01,Reviewer 3,"Define a clear research contribution.",MAJOR,"Use the frozen boundary-model and executable-profile contribution architecture.",C2-C7,"scientific identity; comparator matrix",IN-PROGRESS,"Introduction; Related Work; Discussion","Contribution is distinguishable from standards and primitives."
R3-02,Reviewer 3,"Provide methodological rigour and evidence-driven conclusions.",MAJOR,"Use explicit RQs cases validators mutations B0–B2 protocol and release evidence.",C2-C7,"executed C3-C6 evidence",PLANNED,"Research Design; Evaluation; Results","Every conclusion maps to executed evidence."
R3-03,Reviewer 3,"Critically synthesise prior literature and identify the gap.",MAJOR,"Use the direct dimensional synthesis and current standards boundary.",C2-C7,"verified registry; comparator matrix",IN-PROGRESS,"Related Work and Contribution","No descriptive literature catalogue remains."
R3-04,Reviewer 3,"Improve structure and logical flow.",MAJOR,"Use the hero-case to RQ to evaluation narrative arc.",C2-C7,"manuscript blueprint; readability audit",IN-PROGRESS,"Whole manuscript","Transitions and section functions are explicit."
R3-05,Reviewer 3,"Rewrite the abstract to report problem method findings and contribution.",MAJOR,"Write the abstract last from the frozen results registry.",C7,"abstract/results parity",MAPPED,"Abstract","No merely descriptive abstract remains."
R3-06,Reviewer 3,"Add literature on generative AI programming occupations labour markets and AI-assisted programming.",MISMATCH,"Record an apparent manuscript mismatch; address the general literature concern only with domain-relevant sources.",C2-C8,"source-manuscript comparison; polite response",NOT-APPLICABLE,"Response letter only","No unrelated AI or labour-market content is inserted."
R4-01,Reviewer 4,"Explain specialist acronyms for an interdisciplinary JCIS audience.",MAJOR,"Reduce and define the acronym set.",C7,"acronym audit",MAPPED,"Whole manuscript","Undefined specialist acronyms equal zero."
R4-02,Reviewer 4,"Review direct prior work on separating verifiable audit evidence from clinical records in greater depth.",MAJOR,"Use consent implementations healthcare ledgers EHR access auditing privacy reviews and generic transparency standards as direct comparators.",C2-C7,"literature synthesis; comparator matrix",IN-PROGRESS,"Related Work and Contribution","The paper addresses both supportive and adverse comparator evidence."
R4-03,Reviewer 4,"State exactly whether TrustEvidence is an architecture boundary abstraction framework or integration.",FATAL,"Define it as a boundary model with an executable reference profile.",C2,"scientific identity card",CLOSED-DESIGN,"Introduction; Discussion","A single identity is used across manuscript repository and response."
R4-04,Reviewer 4,"Clarify novelty relative to FHIR AuditEvent Provenance and Consent.",FATAL,"Acknowledge their native capabilities and locate the bounded addition in field selection custody binding and evaluation.",C2-C3,"FHIR delta matrix; official definitions; C3 mapping",IN-PROGRESS,"Related Work; TrustEvidence Boundary","No caricature of FHIR is used."
R4-05,Reviewer 4,"Clarify novelty relative to prior cryptographic-integrity integrations.",FATAL,"Attribute signatures Merkle algorithms SCITT and COSE Receipts to prior standards and narrow novelty to the healthcare profile.",C2-C4,"SCITT/FHIR delta; comparator matrix; threat model",IN-PROGRESS,"Related Work; Reference Implementation","No primitive or priority claim remains."
R4-06,Reviewer 4,"Discuss scalability to large healthcare networks.",MAJOR,"Report only bounded local workload evidence and explain unmeasured network organisational and persistent-state dimensions.",C5-C7,"B0–B2 results; limitation statement",PLANNED,"Results; Discussion; Limitations","No large-network scalability claim is made."
R4-07,Reviewer 4,"Discuss realistic hospital deployability.",MAJOR,"Identify required integration points keys validators custody and operations while stating that no hospital deployment was executed.",C6-C7,"release and component inventory",PLANNED,"Discussion; Limitations","Reference deployability is not equated with hospital readiness."
R4-08,Reviewer 4,"Explain interoperability beyond existing FHIR implementations.",MAJOR,"Define the added target as audit-evidence interoperability rather than improvement of FHIR semantic interoperability.",C2-C3,"construct definition; mapping and round trip",IN-PROGRESS,"Introduction; Discussion","Claim concerns portable evidence semantics and binding only."
R4-09,Reviewer 4,"Discuss whether the approach reduces auditing cost and complexity.",MAJOR,"Measure local processing and bytes; inventory added components; do not claim organisational cost reduction.",C5-C7,"B0–B2; component analysis",PLANNED,"Results; Discussion","Cost-reduction wording is absent unless directly measured."
R4-10,Reviewer 4,"Discuss accountability transparency and trust implications.",MAJOR,"Distinguish attributable evidence bounded inclusion/consistency and unmeasured organisational trust.",C2-C7,"claim ledger; security results",IN-PROGRESS,"Discussion; Limitations","Trust is not reported as an outcome."
