ref_id,apa7_reference,source_class,directness,route_c_use,doi_or_canonical,metadata_verification,final_manuscript_status
DSR-HEVNER-2004,"Hevner, A. R., March, S. T., Park, J., & Ram, S. (2004). Design science in information systems research. MIS Quarterly, 28(1), 75–105. https://doi.org/10.2307/25148625",peer-reviewed methodology,foundational,"Justifies an artefact-centred information-systems research design and relevance-rigour evaluation.",https://doi.org/10.2307/25148625,DOI-RESOLVED,RETAIN
DSR-PEFFERS-2007,"Peffers, K., Tuunanen, T., Rothenberger, M. A., & Chatterjee, S. (2007). A design science research methodology for information systems research. Journal of Management Information Systems, 24(3), 45–77. https://doi.org/10.2753/MIS0742-1222240302",peer-reviewed methodology,foundational,"Structures problem identification objectives design demonstration evaluation and communication.",https://doi.org/10.2753/MIS0742-1222240302,DOI-RESOLVED,RETAIN
DSR-GREGOR-HEVNER-2013,"Gregor, S., & Hevner, A. R. (2013). Positioning and presenting design science research for maximum impact. MIS Quarterly, 37(2), 337–355. https://doi.org/10.25300/MISQ/2013/37.2.01",peer-reviewed methodology,foundational,"Positions Route C as improvement-oriented design research rather than invention of generic primitives.",https://doi.org/10.25300/MISQ/2013/37.2.01,DOI-RESOLVED,RETAIN
STD-FHIR-AUDIT,"HL7 International. (2019). AuditEvent: FHIR Release 4 (version 4.0.1). https://hl7.org/fhir/R4/auditevent.html",official standard,direct,"Defines the security-event representation capability against which the Route C projection and novelty are compared.",https://hl7.org/fhir/R4/auditevent.html,OFFICIAL-PERMANENT-URL,RETAIN
STD-FHIR-PROV,"HL7 International. (2019). Provenance: FHIR Release 4 (version 4.0.1). https://hl7.org/fhir/R4/provenance.html",official standard,direct,"Defines versioned target activity entity agent transformation and signature semantics.",https://hl7.org/fhir/R4/provenance.html,OFFICIAL-PERMANENT-URL,RETAIN
STD-FHIR-CONSENT,"HL7 International. (2019). Consent: FHIR Release 4 (version 4.0.1). https://hl7.org/fhir/R4/consent.html",official standard,direct,"Defines healthcare-consumer choices recipients purposes periods policy context and source-derived consent representations.",https://hl7.org/fhir/R4/consent.html,OFFICIAL-PERMANENT-URL,RETAIN
STD-BALP,"IHE IT Infrastructure Technical Committee. (2025). Basic Audit Log Patterns (BALP), version 1.1.4. https://profiles.ihe.net/ITI/BALP/",official implementation guide,direct,"Defines reusable FHIR R4 AuditEvent patterns for REST activities token use consent-authorised decisions and privacy disclosure.",https://profiles.ihe.net/ITI/BALP/,OFFICIAL-CURRENT-PUBLISHED-VERSION,RETAIN
STD-RFC9162,"Laurie, B., Messeri, E., & Stradling, R. (2021). Certificate Transparency Version 2.0 (RFC 9162). RFC Editor. https://doi.org/10.17487/RFC9162",IETF standard,direct-algorithmic,"Provides the published Merkle inclusion and consistency algorithmic lineage.",https://doi.org/10.17487/RFC9162,DOI-RESOLVED,RETAIN
STD-RFC9942,"Steele, O., Birkholz, H., Delignat-Lavaud, A., & Fournet, C. (2026). CBOR Object Signing and Encryption (COSE) Receipts (RFC 9942). RFC Editor. https://doi.org/10.17487/RFC9942",IETF standard,direct,"Defines standards-track COSE receipt structures and proves that the existing Route C JSON receipt must not be labelled RFC 9942 conformant.",https://doi.org/10.17487/RFC9942,DOI-RESOLVED,RETAIN-AS-NOVELTY-BOUNDARY
STD-RFC9943,"Birkholz, H., Delignat-Lavaud, A., Fournet, C., Deshpande, Y., & Lasker, S. (2026). An architecture for trustworthy and transparent digital supply chains (RFC 9943). RFC Editor. https://doi.org/10.17487/RFC9943",IETF standard,direct,"Defines generic signed-statement transparency roles and architecture; Route C cites it as a comparator not an implemented profile.",https://doi.org/10.17487/RFC9943,DOI-RESOLVED,RETAIN-AS-NOVELTY-BOUNDARY
LIT-MEDREC,"Azaria, A., Ekblaw, A., Vieira, T., & Lippman, A. (2016). MedRec: Using blockchain for medical data access and permission management. In 2016 2nd International Conference on Open and Big Data (OBD) (pp. 25–30). IEEE. https://doi.org/10.1109/OBD.2016.11",peer-reviewed conference,direct,"Demonstrates that blockchain-mediated healthcare permissions and off-chain medical records predate TrustEvidence.",https://doi.org/10.1109/OBD.2016.11,DOI-RESOLVED,RETAIN
LIT-FHIRCHAIN,"Zhang, P., White, J., Schmidt, D. C., Lenz, G., & Rosenbloom, S. T. (2018). FHIRChain: Applying blockchain to securely and scalably share clinical data. Computational and Structural Biotechnology Journal, 16, 267–278. https://doi.org/10.1016/j.csbj.2018.07.004",peer-reviewed article,direct,"Demonstrates that FHIR digital identities permissions and blockchain-based sharing are not Route C primitives.",https://doi.org/10.1016/j.csbj.2018.07.004,DOI-RESOLVED,RETAIN
LIT-WUST-GERVAIS,"Wüst, K., & Gervais, A. (2018). Do you need a blockchain? In 2018 Crypto Valley Conference on Blockchain Technology (CVCBT) (pp. 45–54). IEEE. https://doi.org/10.1109/CVCBT.2018.00011",peer-reviewed conference,adjacent-direct,"Provides a disciplined central-database-versus-blockchain decision comparator and prevents ledger-by-default reasoning.",https://doi.org/10.1109/CVCBT.2018.00011,DOI-RESOLVED,RETAIN
LIT-MAGIC,"Bialke, M., Bahls, T., Geidel, L., Rau, H., Blumentritt, A., Pasewald, S., Wolff, R., Steinmann, J., Bronsch, T., Hampf, C., Hoffmann, W., & Stäubert, S. (2018). MAGIC: Once upon a time in consent management—a FHIR tale. Journal of Translational Medicine, 16, 256. https://doi.org/10.1186/s12967-018-1631-3",peer-reviewed article,direct,"Shows established FHIR-based consent-management requirements and implementation history.",https://doi.org/10.1186/s12967-018-1631-3,DOI-RESOLVED,RETAIN
LIT-GICS,"Bialke, M., Geidel, L., Hampf, C., Blumentritt, A., Penndorf, P., Schuldt, R., Moser, F.-M., Lang, S., Werner, P., Stäubert, S., Hund, H., Albashiti, F., Gührer, J., Prokosch, H.-U., Bahls, T., & Hoffmann, W. (2022). A FHIR has been lit on gICS: Facilitating the standardised exchange of informed consent in a large network of university medicine. BMC Medical Informatics and Decision Making, 22, 335. https://doi.org/10.1186/s12911-022-02081-4",peer-reviewed article,direct,"Provides a production-oriented FHIR consent exchange comparator and demonstrates that FHIR consent interoperability is established work.",https://doi.org/10.1186/s12911-022-02081-4,DOI-RESOLVED,RETAIN
LIT-CONSENT-2,"Stäubert, S., Merzweiler, A., Römhild, J., Lang, S., & Bialke, M. (2025). Consent Management 2.0: Empowering patient will in medical research and care. Studies in Health Technology and Informatics, 331, 133–141. https://doi.org/10.3233/SHTI251389",peer-reviewed proceedings article,direct-current,"Shows current FHIR consent lifecycle modelling for consent withdrawal refusal objection and historical status; bounds any TrustEvidence consent novelty claim.",https://doi.org/10.3233/SHTI251389,DOI-AND-PUBLISHER-METADATA-VERIFIED,RETAIN
LIT-ULLAH-2024,"Ullah, F., He, J., Zhu, N., Wajahat, A., Nazir, A., Qureshi, S., Pathan, M. S., & Dev, S. (2024). Blockchain-enabled EHR access auditing: Enhancing healthcare data security. Heliyon, 10(16), e34407. https://doi.org/10.1016/j.heliyon.2024.e34407",peer-reviewed article,direct-current,"Provides a recent purpose-based EHR access-auditing and smart-contract comparator.",https://doi.org/10.1016/j.heliyon.2024.e34407,DOI-AND-PUBLISHER-METADATA-VERIFIED,RETAIN
LIT-LI-2025,"Li, K., Lohachab, A., Dumontier, M., & Urovi, V. (2025). Privacy preservation in blockchain-based healthcare data sharing: A systematic review. Peer-to-Peer Networking and Applications, 18, Article 302. https://doi.org/10.1007/s12083-025-02148-9",peer-reviewed systematic review,direct-current,"Synthesises privacy mechanisms maturity and the continuing proof-of-concept versus deployment gap in healthcare blockchain research.",https://doi.org/10.1007/s12083-025-02148-9,DOI-AND-PUBLISHER-METADATA-VERIFIED,RETAIN
DATA-BENNETT-ARTICLE,"Bennett, A. M., Ulrich, H., van Damme, P., Wiedekopf, J., & Johnson, A. E. W. (2023). MIMIC-IV on FHIR: Converting a decade of in-patient data into an exchangeable interoperable format. Journal of the American Medical Informatics Association, 30(4), 718–725. https://doi.org/10.1093/jamia/ocad002",peer-reviewed article,data-method,"Supports the method and heterogeneity context of MIMIC-IV-to-FHIR conversion; it must not be bundled with dataset citations.",https://doi.org/10.1093/jamia/ocad002,DOI-RESOLVED,RETAIN-IF-PUBLIC-DERIVED-CASE-USED
DATA-MIMIC-FHIR,"Johnson, A. E. W., et al. (2024). MIMIC-IV on FHIR (versioned dataset). PhysioNet. https://doi.org/10.13026/rrj1-ny66",dataset record,data-source,"Identifies the versioned FHIR dataset separately from the peer-reviewed conversion article.",https://doi.org/10.13026/rrj1-ny66,DOI-RESOLVED-AUTHOR-LIST-TO-BE-EXPORTED-FROM-RECORD,CONDITIONAL
DATA-MIMIC-DEMO,"Johnson, A. E. W., et al. (2025). MIMIC-IV on FHIR demo (versioned dataset). PhysioNet. https://doi.org/10.13026/vphg-y548",dataset record,data-source,"Identifies the redistributable demo resource separately from the article and full dataset.",https://doi.org/10.13026/vphg-y548,DOI-RESOLVED-AUTHOR-LIST-TO-BE-EXPORTED-FROM-RECORD,CONDITIONAL
DATA-SYNTHEA,"Walonoski, J., Kramer, M., Nichols, J., Quina, A., Moesel, C., Hall, D., Duffett, C., Dube, K., Gallagher, T., & McLachlan, S. (2018). Synthea: An approach method and software mechanism for generating synthetic patients and the synthetic electronic health care record. Journal of the American Medical Informatics Association, 25(3), 230–238. https://doi.org/10.1093/jamia/ocx079",peer-reviewed article,data-method,"Supports clinically plausible synthetic source generation without implying real-patient validation.",https://doi.org/10.1093/jamia/ocx079,DOI-RESOLVED,RETAIN-IF-SYNTHEA-USED
METHOD-STRESS,"Monks, T., Currie, C. S. M., Onggo, B. S., Robinson, S., Kunc, M., & Taylor, S. J. E. (2019). Strengthening the reporting of empirical simulation studies: Introducing the STRESS guidelines. Journal of Simulation, 13(1), 55–67. https://doi.org/10.1080/17477778.2018.1442155",peer-reviewed methodology,method,"Supports transparent reporting of synthetic workloads assumptions inputs and outputs.",https://doi.org/10.1080/17477778.2018.1442155,DOI-RESOLVED,RETAIN
METHOD-SARGENT,"Sargent, R. G. (2013). Verification and validation of simulation models. Journal of Simulation, 7(1), 12–24. https://doi.org/10.1057/jos.2012.20",peer-reviewed methodology,method,"Supports separation of implementation verification from model validation and claim bounding.",https://doi.org/10.1057/jos.2012.20,DOI-RESOLVED,RETAIN
