file,width_px,height_px,qa_status,notes
GENERATED_FIGURES_CONTACT_SHEET.png,922,6276,CHECK,300 dpi PNG generated from vector source; visual contact sheet required
figure1_boundary_architecture.png,3252,1633,PASS,300 dpi PNG generated from vector source; visual contact sheet required
figure2_evidence_demotion_pipeline.png,3365,1534,PASS,300 dpi PNG generated from vector source; visual contact sheet required
figure3_a2_merkle_flow.png,3336,1484,PASS,300 dpi PNG generated from vector source; visual contact sheet required
figure4_workload_descriptors.png,3309,1708,PASS,300 dpi PNG generated from vector source; visual contact sheet required
figure5_backend_decision_map.png,2943,1934,PASS,300 dpi PNG generated from vector source; visual contact sheet required
figure_01_boundary.png,719,350,CHECK,300 dpi PNG generated from vector source; visual contact sheet required
figure_02_property_matrix.png,640,350,CHECK,300 dpi PNG generated from vector source; visual contact sheet required
figure_03_envelope.png,562,350,CHECK,300 dpi PNG generated from vector source; visual contact sheet required
figure_04_emission_state_machine.png,717,311,CHECK,300 dpi PNG generated from vector source; visual contact sheet required
figure_05_stack.png,640,350,CHECK,300 dpi PNG generated from vector source; visual contact sheet required
figure_07_ig_mapping.png,640,350,CHECK,300 dpi PNG generated from vector source; visual contact sheet required
figure_08_traceability_lji.png,721,311,CHECK,300 dpi PNG generated from vector source; visual contact sheet required
