node_id,label,lane,x,y,w,h,node_type
source,"Mobile/wearable
data source",semantic,0.06,0.705,0.17,0.095,input
fhir,"FHIR semantic
boundary",semantic,0.285,0.705,0.19,0.095,boundary
interface,"TrustEvidence
interface",semantic,0.555,0.705,0.22,0.095,interface
auditor,"Verifier /
auditor",semantic,0.825,0.705,0.135,0.095,actor
payload,"Off-chain payload
repository",payload,0.355,0.445,0.26,0.09,payload
a1,"A1 Central
audit log",backend,0.125,0.185,0.205,0.095,backend
a2,"A2 Append-only
hash log",backend,0.398,0.185,0.205,0.095,backend
a3,"A3 Ledger-like
evidence backend",backend,0.67,0.185,0.225,0.095,backend
