run_id,backend_id,workload_id,event_count,total_storage_bytes,artefact_bytes,backend_bytes,proof_bytes,snapshot_ns
W1-A1-memory-R01,A1-memory,W1,15,21921,15426,6495,0,7662163113275
W1-A2-merkle-R01,A2-merkle,W1,15,29653,15426,9823,4404,7662167222069
W2-A1-memory-R01,A1-memory,W2,28,40920,28796,12124,0,7662171533828
W2-A2-merkle-R01,A2-merkle,W2,28,56245,28796,18403,9046,7662179334872
W3-A1-memory-R01,A1-memory,W3,29,42381,29824,12557,0,7662183948033
W3-A2-merkle-R01,A2-merkle,W3,29,58306,29824,19063,9419,7662192431658
W4-A1-memory-R01,A1-memory,W4,51,74533,52450,22083,0,7662200223100
W4-A2-merkle-R01,A2-merkle,W4,51,103865,52450,33583,17832,7662218641129
W5-A1-memory-R01,A1-memory,W5,28,40920,28796,12124,0,7662222955826
W5-A2-merkle-R01,A2-merkle,W5,28,56245,28796,18403,9046,7662230990667
